Datetime,Close,High,Low,Open,Volume
2026-02-09 09:00:00+00:00,25087.75,25185.5,25074.0,25160.0,32433
2026-02-09 10:00:00+00:00,25044.0,25094.5,24967.75,25088.0,55070
2026-02-09 11:00:00+00:00,25047.5,25072.0,25020.5,25045.25,31367
2026-02-09 12:00:00+00:00,25101.75,25104.75,25014.5,25049.25,39991
2026-02-09 13:00:00+00:00,25079.0,25157.25,25074.25,25101.25,53470
2026-02-09 14:00:00+00:00,25113.5,25188.5,24955.5,25079.25,279115
2026-02-09 15:00:00+00:00,25312.0,25329.0,25103.25,25112.5,264527
2026-02-09 16:00:00+00:00,25391.0,25405.5,25305.5,25312.25,130544
2026-02-09 17:00:00+00:00,25355.5,25416.75,25349.5,25390.75,103658
2026-02-09 18:00:00+00:00,25369.75,25389.0,25311.5,25355.0,126303
2026-02-09 19:00:00+00:00,25399.0,25429.0,25363.75,25370.0,81049
2026-02-09 20:00:00+00:00,25340.5,25413.75,25334.0,25399.5,134799
2026-02-09 21:00:00+00:00,25361.5,25374.75,25337.0,25338.5,31037
2026-02-09 23:00:00+00:00,25345.0,25396.25,25328.0,25361.25,0
2026-02-10 00:00:00+00:00,25334.5,25362.75,25312.0,25344.5,26137
2026-02-10 01:00:00+00:00,25334.75,25352.25,25300.0,25335.25,32935
2026-02-10 02:00:00+00:00,25306.0,25336.0,25287.0,25334.5,20631
2026-02-10 03:00:00+00:00,25300.0,25313.75,25278.5,25307.75,17383
2026-02-10 04:00:00+00:00,25343.5,25347.25,25298.75,25299.5,13571
2026-02-10 05:00:00+00:00,25352.5,25358.0,25311.75,25334.25,19733
2026-02-10 06:00:00+00:00,25313.25,25354.0,25291.25,25352.25,18541
2026-02-10 07:00:00+00:00,25349.25,25349.25,25306.75,25314.0,16252
2026-02-10 08:00:00+00:00,25334.5,25367.5,25321.75,25349.25,30674
2026-02-10 09:00:00+00:00,25363.5,25405.75,25334.0,25334.0,26100
2026-02-10 10:00:00+00:00,25355.5,25374.75,25341.75,25363.75,27566
2026-02-10 11:00:00+00:00,25370.0,25373.75,25333.0,25355.5,19830
2026-02-10 12:00:00+00:00,25338.25,25421.75,25337.75,25370.0,44516
2026-02-10 13:00:00+00:00,25372.75,25374.5,25292.5,25339.25,71517
2026-02-10 14:00:00+00:00,25391.75,25410.25,25251.25,25372.5,318364
2026-02-10 15:00:00+00:00,25374.75,25447.0,25347.75,25392.0,342113
2026-02-10 16:00:00+00:00,25327.25,25401.25,25316.75,25375.0,230381
2026-02-10 17:00:00+00:00,25383.75,25397.75,25305.0,25327.25,129644
2026-02-10 18:00:00+00:00,25312.75,25385.25,25271.0,25383.5,175850
2026-02-10 19:00:00+00:00,25294.25,25323.0,25274.5,25312.5,112692
2026-02-10 20:00:00+00:00,25219.75,25297.0,25197.5,25294.25,169871
2026-02-10 21:00:00+00:00,25257.75,25260.0,25209.0,25219.25,31793
2026-02-10 23:00:00+00:00,25273.25,25287.5,25254.0,25254.0,0
2026-02-11 00:00:00+00:00,25290.0,25296.5,25265.75,25273.25,12942
2026-02-11 01:00:00+00:00,25315.5,25326.25,25290.5,25290.75,17685
2026-02-11 02:00:00+00:00,25322.0,25330.0,25306.0,25316.0,15077
2026-02-11 03:00:00+00:00,25338.0,25345.25,25303.0,25321.5,15608
2026-02-11 04:00:00+00:00,25304.25,25340.25,25295.5,25337.75,14124
2026-02-11 05:00:00+00:00,25286.75,25325.5,25278.75,25316.0,14666
2026-02-11 06:00:00+00:00,25269.25,25316.5,25266.75,25287.25,16793
2026-02-11 07:00:00+00:00,25270.5,25290.25,25252.75,25269.25,17071
2026-02-11 08:00:00+00:00,25250.5,25279.5,25209.5,25270.75,28092
2026-02-11 09:00:00+00:00,25204.75,25279.0,25204.0,25250.25,28338
