Datetime,Close,High,Low,Open,Volume
2026-01-12 01:30:00+00:00,30567.2109375,30624.0390625,30510.130859375,30572.25,0
2026-01-12 02:00:00+00:00,30585.150390625,30634.359375,30507.7890625,30522.6796875,0
2026-01-12 02:30:00+00:00,30587.939453125,30639.05078125,30534.7109375,30583.05078125,0
2026-01-12 03:00:00+00:00,30635.880859375,30641.869140625,30541.880859375,30587.939453125,0
2026-01-12 03:30:00+00:00,30655.23046875,30658.470703125,30591.080078125,30639.349609375,0
2026-01-12 04:00:00+00:00,30608.5390625,30663.779296875,30604.509765625,30656.599609375,0
2026-01-12 04:30:00+00:00,30595.779296875,30651.55078125,30544.630859375,30649.73046875,0
2026-01-12 05:00:00+00:00,30558.859375,30651.470703125,30558.859375,30634.01953125,0
2026-01-13 01:00:00+00:00,30854.490234375,30973.849609375,30630.859375,30630.859375,0
2026-01-13 01:30:00+00:00,30676.2109375,30893.849609375,30596.01953125,30860.41015625,0
2026-01-13 02:00:00+00:00,30621.279296875,30708.9609375,30529.330078125,30672.830078125,0
2026-01-13 02:30:00+00:00,30721.8203125,30766.73046875,30614.880859375,30621.0703125,0
2026-01-13 03:00:00+00:00,30797.869140625,30799.5390625,30660.4296875,30722.689453125,0
2026-01-13 03:30:00+00:00,30719.130859375,30796.69921875,30673.099609375,30758.140625,0
2026-01-13 04:00:00+00:00,30662.060546875,30764.970703125,30655.140625,30716.0,0
2026-01-13 04:30:00+00:00,30670.609375,30713.990234375,30644.01953125,30659.470703125,0
2026-01-13 05:00:00+00:00,30705.060546875,30716.140625,30656.5703125,30669.130859375,0
2026-01-14 01:00:00+00:00,30832.029296875,30888.599609375,30742.529296875,30742.529296875,0
2026-01-14 01:30:00+00:00,30895.779296875,30918.619140625,30835.3203125,30835.91015625,0
2026-01-14 02:00:00+00:00,30983.73046875,30994.810546875,30861.169921875,30899.76953125,0
2026-01-14 02:30:00+00:00,30908.390625,30981.369140625,30846.919921875,30947.4609375,0
2026-01-14 03:00:00+00:00,30934.3203125,30974.05078125,30864.439453125,30907.8203125,0
2026-01-14 03:30:00+00:00,30892.599609375,30942.7890625,30887.16015625,30931.509765625,0
2026-01-14 04:00:00+00:00,30861.7890625,30952.58984375,30854.560546875,30897.0,0
2026-01-14 04:30:00+00:00,30881.130859375,30902.419921875,30834.779296875,30863.439453125,0
2026-01-14 05:00:00+00:00,30891.560546875,30893.1796875,30829.650390625,30880.19921875,0
2026-01-15 01:00:00+00:00,30798.26953125,30851.400390625,30736.259765625,30746.98046875,0
2026-01-15 01:30:00+00:00,30771.91015625,30850.310546875,30770.1796875,30800.619140625,0
2026-01-15 02:00:00+00:00,30744.73046875,30812.390625,30705.509765625,30809.7109375,0
2026-01-15 02:30:00+00:00,30688.0390625,30752.9609375,30675.5703125,30745.990234375,0
2026-01-15 03:00:00+00:00,30704.939453125,30753.029296875,30681.619140625,30686.41015625,0
2026-01-15 03:30:00+00:00,30670.0703125,30759.119140625,30663.869140625,30705.869140625,0
2026-01-15 04:00:00+00:00,30774.419921875,30786.16015625,30668.7109375,30668.7109375,0
2026-01-15 04:30:00+00:00,30767.359375,30812.3203125,30715.900390625,30773.4296875,0
2026-01-15 05:00:00+00:00,30838.2109375,30877.310546875,30756.6796875,30762.19921875,0
2026-01-16 01:00:00+00:00,31151.970703125,31339.390625,30844.630859375,30844.630859375,0
2026-01-16 01:30:00+00:00,31168.759765625,31205.58984375,31099.529296875,31115.8203125,0
2026-01-16 02:00:00+00:00,31276.4609375,31284.8203125,31166.2109375,31166.2109375,0
2026-01-16 02:30:00+00:00,31346.0703125,31346.23046875,31233.990234375,31278.30078125,0
2026-01-16 03:00:00+00:00,31406.6796875,31421.830078125,31328.01953125,31344.529296875,0
2026-01-16 03:30:00+00:00,31333.640625,31413.9609375,31322.029296875,31406.05078125,0
2026-01-16 04:00:00+00:00,31417.1796875,31462.939453125,31327.359375,31372.349609375,0
2026-01-16 04:30:00+00:00,31438.560546875,31462.890625,31386.94921875,31419.380859375,0
2026-01-16 05:00:00+00:00,31428.630859375,31475.220703125,31375.80078125,31438.44921875,0
2026-01-19 01:00:00+00:00,31432.7109375,31478.51953125,31285.529296875,31336.76953125,0
2026-01-19 01:30:00+00:00,31399.640625,31500.0703125,31337.939453125,31431.490234375,0
2026-01-19 02:00:00+00:00,31477.720703125,31482.009765625,31361.919921875,31401.150390625,0
2026-01-19 02:30:00+00:00,31463.130859375,31515.669921875,31434.779296875,31481.0,0
2026-01-19 03:00:00+00:00,31523.900390625,31549.919921875,31456.83984375,31456.83984375,0
2026-01-19 03:30:00+00:00,31587.94921875,31616.939453125,31481.880859375,31481.880859375,0
2026-01-19 04:00:00+00:00,31667.650390625,31673.75,31531.369140625,31586.3203125,0
2026-01-19 04:30:00+00:00,31727.189453125,31827.390625,31623.76953125,31668.970703125,0
